"dgp","idx_d","d","truth_seed","row","col","A_base"
"dgp1",4,20,20270004,12,12,0.220380745162752
"dgp1",4,20,20270004,13,12,0
"dgp1",4,20,20270004,14,12,0
"dgp1",4,20,20270004,15,12,0
"dgp1",4,20,20270004,16,12,0.220380745162752
"dgp1",4,20,20270004,17,12,0.220380745162752
"dgp1",4,20,20270004,18,12,0
"dgp1",4,20,20270004,19,12,0
"dgp1",4,20,20270004,20,12,0
"dgp1",4,20,20270004,1,13,0
"dgp1",4,20,20270004,2,13,0
"dgp1",4,20,20270004,3,13,0
"dgp1",4,20,20270004,4,13,0.220380745162752
"dgp1",4,20,20270004,5,13,0.220380745162752
"dgp1",4,20,20270004,6,13,0
"dgp1",4,20,20270004,7,13,0.220380745162752
"dgp1",4,20,20270004,8,13,0
"dgp1",4,20,20270004,9,13,0
"dgp1",4,20,20270004,10,13,0
"dgp1",4,20,20270004,11,13,0
"dgp1",4,20,20270004,12,13,0
"dgp1",4,20,20270004,13,13,0.220380745162752
"dgp1",4,20,20270004,14,13,0
"dgp1",4,20,20270004,15,13,0
"dgp1",4,20,20270004,16,13,0
"dgp1",4,20,20270004,17,13,0
"dgp1",4,20,20270004,18,13,0
"dgp1",4,20,20270004,19,13,0
"dgp1",4,20,20270004,20,13,0
"dgp1",4,20,20270004,1,14,0
"dgp1",4,20,20270004,2,14,0
"dgp1",4,20,20270004,3,14,0
"dgp1",4,20,20270004,4,14,0
"dgp1",4,20,20270004,5,14,0
"dgp1",4,20,20270004,6,14,0
"dgp1",4,20,20270004,7,14,0
"dgp1",4,20,20270004,8,14,0
"dgp1",4,20,20270004,9,14,0
"dgp1",4,20,20270004,10,14,0
"dgp1",4,20,20270004,11,14,0
"dgp1",4,20,20270004,12,14,0
"dgp1",4,20,20270004,13,14,0
"dgp1",4,20,20270004,14,14,0.220380745162752
"dgp1",4,20,20270004,15,14,0
"dgp1",4,20,20270004,16,14,0
"dgp1",4,20,20270004,17,14,0
"dgp1",4,20,20270004,18,14,0
"dgp1",4,20,20270004,19,14,0
"dgp1",4,20,20270004,20,14,0
"dgp1",4,20,20270004,1,15,0
"dgp1",4,20,20270004,2,15,0
"dgp1",4,20,20270004,3,15,0
"dgp1",4,20,20270004,4,15,0
"dgp1",4,20,20270004,5,15,0
"dgp1",4,20,20270004,6,15,0
"dgp1",4,20,20270004,7,15,0
"dgp1",4,20,20270004,8,15,0
"dgp1",4,20,20270004,9,15,0
"dgp1",4,20,20270004,10,15,0
"dgp1",4,20,20270004,11,15,0
"dgp1",4,20,20270004,12,15,0
"dgp1",4,20,20270004,13,15,0
"dgp1",4,20,20270004,14,15,0
"dgp1",4,20,20270004,15,15,0.220380745162752
"dgp1",4,20,20270004,16,15,0
"dgp1",4,20,20270004,17,15,0
"dgp1",4,20,20270004,18,15,0
"dgp1",4,20,20270004,19,15,0
"dgp1",4,20,20270004,20,15,0
"dgp1",4,20,20270004,1,16,0
"dgp1",4,20,20270004,2,16,0
"dgp1",4,20,20270004,3,16,0
"dgp1",4,20,20270004,4,16,0
"dgp1",4,20,20270004,5,16,0
"dgp1",4,20,20270004,6,16,0.220380745162752
"dgp1",4,20,20270004,7,16,0
"dgp1",4,20,20270004,8,16,0
