"dgp","idx_d","idx_T","rep","d","T_sample","truth_seed","data_seed"
"dgp1",1,6,41,5,2000,20270001,20366367
"dgp1",1,6,42,5,2000,20270001,20366368
"dgp1",1,6,43,5,2000,20270001,20366369
"dgp1",1,6,44,5,2000,20270001,20366370
"dgp1",1,6,45,5,2000,20270001,20366371
"dgp1",1,6,46,5,2000,20270001,20366372
"dgp1",1,6,47,5,2000,20270001,20366373
"dgp1",1,6,48,5,2000,20270001,20366374
"dgp1",1,6,49,5,2000,20270001,20366375
"dgp1",1,6,50,5,2000,20270001,20366376
"dgp1",1,6,51,5,2000,20270001,20366377
"dgp1",1,6,52,5,2000,20270001,20366378
"dgp1",1,6,53,5,2000,20270001,20366379
"dgp1",1,6,54,5,2000,20270001,20366380
"dgp1",1,6,55,5,2000,20270001,20366381
"dgp1",1,6,56,5,2000,20270001,20366382
"dgp1",1,6,57,5,2000,20270001,20366383
"dgp1",1,6,58,5,2000,20270001,20366384
"dgp1",1,6,59,5,2000,20270001,20366385
"dgp1",1,6,60,5,2000,20270001,20366386
"dgp1",1,6,61,5,2000,20270001,20366387
"dgp1",1,6,62,5,2000,20270001,20366388
"dgp1",1,6,63,5,2000,20270001,20366389
"dgp1",1,6,64,5,2000,20270001,20366390
"dgp1",1,6,65,5,2000,20270001,20366391
"dgp1",1,6,66,5,2000,20270001,20366392
"dgp1",1,6,67,5,2000,20270001,20366393
