"tuning","T_sample","method","n_cells","avg_rank_frob","n_ranked_frob","avg_rank_rmfe","n_ranked_rmfe","avg_rank_hamming","n_ranked_hamming","avg_rank_F1","n_ranked_F1","avg_rank_off_hamming","n_ranked_off_hamming","avg_rank_off_F1","n_ranked_off_F1"
"cv",300,"ScL",18,8.55555555555556,18,9.16666666666667,18,2.44444444444444,18,2.91666666666667,18,2.44444444444444,18,3.08333333333333,18
"cv",500,"L",18,4.83333333333333,18,4.66666666666667,18,7.94444444444444,18,7.61111111111111,18,7.94444444444444,18,7.61111111111111,18
"cv",500,"L-Th",18,6.16666666666667,18,6.44444444444444,18,2.47222222222222,18,3,18,2.47222222222222,18,3.16666666666667,18
"cv",500,"L-Ref",18,7.94444444444444,18,8,18,7.94444444444444,18,7.61111111111111,18,7.94444444444444,18,7.61111111111111,18
"cv",500,"L-Rlx",18,5.55555555555556,18,5.72222222222222,18,7.94444444444444,18,7.61111111111111,18,7.94444444444444,18,7.61111111111111,18
"cv",500,"L-Des",18,10.2222222222222,18,9.88888888888889,18,10.5,18,10.4444444444444,18,10.5,18,10.3888888888889,18
"cv",500,"A",18,2.19444444444444,18,2,18,4.27777777777778,18,4.33333333333333,18,4.27777777777778,18,4.27777777777778,18
"cv",500,"A-Th",18,2.02777777777778,18,2.11111111111111,18,3.05555555555556,18,3.11111111111111,18,3.05555555555556,18,3.22222222222222,18
"cv",500,"A-Ref",18,4.61111111111111,18,4.44444444444444,18,4.27777777777778,18,4.33333333333333,18,4.27777777777778,18,4.27777777777778,18
"cv",500,"A-Rlx",18,3.05555555555556,18,3.33333333333333,18,4.27777777777778,18,4.33333333333333,18,4.27777777777778,18,4.27777777777778,18
"cv",500,"A-Des",18,10.1111111111111,18,9.88888888888889,18,10.5,18,10.4444444444444,18,10.5,18,10.3888888888889,18
"cv",500,"ScL",18,9.27777777777778,18,9.5,18,2.80555555555556,18,3.16666666666667,18,2.80555555555556,18,3.16666666666667,18
"cv",1000,"L",18,5.27777777777778,18,5.5,18,8,18,7.94444444444444,18,8,18,7.94444444444444,18
"cv",1000,"L-Th",18,5.5,18,5.72222222222222,18,1.86111111111111,18,2.02777777777778,18,1.86111111111111,18,2.02777777777778,18
"cv",1000,"L-Ref",18,8.05555555555556,18,7.55555555555556,18,8,18,7.94444444444444,18,8,18,7.94444444444444,18
"cv",1000,"L-Rlx",18,6.22222222222222,18,6.11111111111111,18,8,18,7.94444444444444,18,8,18,7.94444444444444,18
"cv",1000,"L-Des",18,10.0555555555556,18,9.63888888888889,18,10.5,18,10.5,18,10.5,18,10.5,18
"cv",1000,"A",18,2.22222222222222,18,2.41666666666667,18,4.25,18,4.25,18,4.25,18,4.25,18
"cv",1000,"A-Th",18,1.88888888888889,18,2.69444444444444,18,2.88888888888889,18,2.88888888888889,18,2.88888888888889,18,2.88888888888889,18
"cv",1000,"A-Ref",18,4.44444444444444,18,4.22222222222222,18,4.25,18,4.25,18,4.25,18,4.25,18
"cv",1000,"A-Rlx",18,2.72222222222222,18,2.88888888888889,18,4.25,18,4.25,18,4.25,18,4.25,18
"cv",1000,"A-Des",18,9.94444444444444,18,9.58333333333333,18,10.5,18,10.5,18,10.5,18,10.5,18
"cv",1000,"ScL",18,9.66666666666667,18,9.66666666666667,18,3.5,18,3.5,18,3.5,18,3.5,18
"cv",2000,"L",18,5.72222222222222,18,5.94444444444444,18,8,18,8,18,8,18,8,18
"cv",2000,"L-Th",18,4.83333333333333,18,5.27777777777778,18,1.91666666666667,18,1.91666666666667,18,1.91666666666667,18,1.91666666666667,18
"cv",2000,"L-Ref",18,8.11111111111111,18,8.16666666666667,18,8,18,8,18,8,18,8,18
"cv",2000,"L-Rlx",18,6.55555555555556,18,6.38888888888889,18,8,18,8,18,8,18,8,18
"cv",2000,"L-Des",18,10,18,9.94444444444444,18,10.5,18,10.5,18,10.5,18,10.5,18
"cv",2000,"A",18,2.27777777777778,18,2.27777777777778,18,3.69444444444444,18,3.69444444444444,18,3.69444444444444,18,3.69444444444444,18
"cv",2000,"A-Th",18,1.72222222222222,18,2.27777777777778,18,2.86111111111111,18,2.86111111111111,18,2.86111111111111,18,2.86111111111111,18
"cv",2000,"A-Ref",18,4.27777777777778,18,3.83333333333333,18,3.69444444444444,18,3.69444444444444,18,3.69444444444444,18,3.69444444444444,18
"cv",2000,"A-Rlx",18,2.61111111111111,18,2.22222222222222,18,3.69444444444444,18,3.69444444444444,18,3.69444444444444,18,3.69444444444444,18
"cv",2000,"A-Des",18,10.1111111111111,18,9.83333333333333,18,10.5,18,10.5,18,10.5,18,10.5,18
"cv",2000,"ScL",18,9.77777777777778,18,9.83333333333333,18,5.13888888888889,18,5.13888888888889,18,5.13888888888889,18,5.13888888888889,18
