"snr","tuning","dgp","d","T_sample","method","rank_frob","rank_rmfe","rank_hamming","rank_F1","rank_off_hamming","rank_off_F1"
1,"theory","dgp1",25,2000,"A-Des",7,7,10.5,10.5,10.5,10.5
1,"theory","dgp1",25,2000,"ScL",6,6,6,6,6,6
1,"theory","dgp1",30,100,"L",3,3,4,3,4,3
1,"theory","dgp1",30,100,"L-Th",5,5,2,5,2,5
1,"theory","dgp1",30,100,"L-Ref",2,2,4,3,4,3
1,"theory","dgp1",30,100,"L-Rlx",1,1,4,3,4,3
1,"theory","dgp1",30,100,"L-Des",7,7,10.5,10.5,10.5,6.5
1,"theory","dgp1",30,100,"A",10,10,7,7,7,9
1,"theory","dgp1",30,100,"A-Th",11,11,9,9,9,11
1,"theory","dgp1",30,100,"A-Ref",9,9,7,7,7,9
1,"theory","dgp1",30,100,"A-Rlx",8,8,7,7,7,9
1,"theory","dgp1",30,100,"A-Des",6,6,10.5,10.5,10.5,6.5
1,"theory","dgp1",30,100,"ScL",4,4,1,1,1,1
1,"theory","dgp1",30,200,"L",3,3,4,4,4,4
1,"theory","dgp1",30,200,"L-Th",4,4,1,1,1,1
1,"theory","dgp1",30,200,"L-Ref",2,2,4,4,4,4
1,"theory","dgp1",30,200,"L-Rlx",1,1,4,4,4,4
1,"theory","dgp1",30,200,"L-Des",7,7,10.5,10.5,10.5,9.5
1,"theory","dgp1",30,200,"A",10,10,7,7,7,7
1,"theory","dgp1",30,200,"A-Th",11,11,9,9,9,11
1,"theory","dgp1",30,200,"A-Ref",8,8,7,7,7,7
1,"theory","dgp1",30,200,"A-Rlx",9,9,7,7,7,7
1,"theory","dgp1",30,200,"A-Des",6,6,10.5,10.5,10.5,9.5
1,"theory","dgp1",30,200,"ScL",5,5,2,2,2,2
1,"theory","dgp1",30,300,"L",4,4,7,4,7,4
1,"theory","dgp1",30,300,"L-Th",3,3,1,1,1,1
1,"theory","dgp1",30,300,"L-Ref",2,2,7,4,7,4
1,"theory","dgp1",30,300,"L-Rlx",1,1,7,4,7,4
1,"theory","dgp1",30,300,"L-Des",7,7,10.5,10.5,10.5,10.5
1,"theory","dgp1",30,300,"A",10,10,4,7,4,7
1,"theory","dgp1",30,300,"A-Th",11,11,9,9,9,9
1,"theory","dgp1",30,300,"A-Ref",8,8,4,7,4,7
1,"theory","dgp1",30,300,"A-Rlx",9,9,4,7,4,7
1,"theory","dgp1",30,300,"A-Des",6,6,10.5,10.5,10.5,10.5
1,"theory","dgp1",30,300,"ScL",5,5,2,2,2,2
1,"theory","dgp1",30,500,"L",4,4,8,7,8,7
1,"theory","dgp1",30,500,"L-Th",3,3,1,1,1,1
1,"theory","dgp1",30,500,"L-Ref",2,2,8,7,8,7
1,"theory","dgp1",30,500,"L-Rlx",1,1,8,7,8,7
1,"theory","dgp1",30,500,"L-Des",7,6,10.5,10.5,10.5,10.5
1,"theory","dgp1",30,500,"A",10,10,4,4,4,4
1,"theory","dgp1",30,500,"A-Th",11,11,6,9,6,9
